dataset,Method,Model,Dimensions,Raw R2,Transformed R2,R2 Retention,dR2,Raw RMSE,Transformed RMSE,RMSE Ratio,Reconstruction R2 (known-pair ridge),Worst Attribute Leakage,Known-Pair Robustness
banking_d80,gw_q16_p90_rot,HistGradientBoostingRegressor,72.0,0.9723329793073962,0.7538939110586341,0.775328675474595,-0.2184390682487619,0.4863297475779424,1.45175308631658,2.986220763309684,0.799213175318218,0.8957875916130696,partial_recovery_with_enough_pairs
banking_d80,gw_q16_p80_rot,HistGradientBoostingRegressor,64.0,0.9723329793073962,0.7269918412359524,0.7476477355066301,-0.2453411380714437,0.4863297475779424,1.528376305006544,3.1434839469846487,0.7091790939147261,0.8058458384166519,partial_recovery_with_enough_pairs
banking_d80,gw_q16_p70_rot,HistGradientBoostingRegressor,56.0,0.9723329793073962,0.6847862656017784,0.7042112681057202,-0.2875467137056178,0.4863297475779424,1.6403993770090306,3.3728858005020776,0.6260877702192872,0.7523718139055456,partial_recovery_with_enough_pairs
banking_d80,gw_q16_p50_rot,HistGradientBoostingRegressor,40.0,0.9723329793073962,0.5486117275007956,0.564188144520776,-0.4237212518066006,0.4863297475779424,1.965997390941994,4.043661489954039,0.4401641195767981,0.5930356886417556,resistant_in_tested_budget
banking_d80,bn50,HistGradientBoostingRegressor,40.0,0.9723329793073962,0.9788834181262984,1.0067382994540517,0.0065504388189023,0.4863297475779424,0.4249670777169645,0.8738379977269036,0.834598225742587,0.9510777404533876,partial_recovery_with_enough_pairs
banking_d80,bn50_rot,HistGradientBoostingRegressor,40.0,0.9723329793073962,0.9786278709054618,1.0064756232475858,0.0062948915980655,0.4863297475779424,0.4275711611039501,0.8792225336223957,0.8345982257425874,0.9510777404533878,partial_recovery_with_enough_pairs
banking_d80,bn50_q16_rot,HistGradientBoostingRegressor,40.0,0.9723329793073962,0.9768501369186228,1.0046473638723212,0.0045171576112267,0.4863297475779424,0.4450468705584581,0.9151772936536644,0.749692742600896,0.9248678197203754,partial_recovery_with_enough_pairs
banking_d80,bn50_adv_rot,HistGradientBoostingRegressor,40.0,0.9723329793073962,0.9781296098441308,1.0059641402657606,0.0057966305367345,0.4863297475779424,0.4327348321861652,0.8900715553307587,0.7851585196520084,0.935993432170897,partial_recovery_with_enough_pairs
banking_d200,raw,HistGradientBoostingRegressor,200.0,0.9703568205103288,0.9703568205103288,1.0,0.0,0.4936299119209428,0.4936299119209428,1.0,0.9994979582890848,0.9999741326979328,collapses_with_enough_pairs
banking_d200,gauss,HistGradientBoostingRegressor,200.0,0.9703568205103288,0.9703568205103288,1.0,0.0,0.4936299119209428,0.4936299119209428,1.0,0.9172649439231292,0.9998199383955324,collapses_with_enough_pairs
banking_d200,gauss_white,HistGradientBoostingRegressor,200.0,0.9703568205103288,0.8367828909105993,0.8623459577526003,-0.1335739295997295,0.4936299119209428,1.1580162185423517,2.346985086582982,0.9151624269263646,0.9999061945544844,collapses_with_enough_pairs
banking_d200,gauss_white_rot,HistGradientBoostingRegressor,200.0,0.9703568205103288,0.66417133043328,0.684454330804339,-0.3061854900770488,0.4936299119209428,1.6615173450186134,3.36574746498442,0.9151624269263646,0.9999061945544844,collapses_with_enough_pairs
banking_d200,gw_q8,HistGradientBoostingRegressor,200.0,0.9703568205103288,0.8002389643861214,0.8246844226751051,-0.1701178561242075,0.4936299119209428,1.2810499329236882,2.596136321544922,0.7446450771729894,0.8309999212270983,partial_recovery_with_enough_pairs
banking_d200,gw_q16,HistGradientBoostingRegressor,200.0,0.9703568205103288,0.8308446533211953,0.8562263375520368,-0.1395121671891336,0.4936299119209428,1.1789038628000332,2.389312080923937,0.8526005788030999,0.9127484918767276,partial_recovery_with_enough_pairs
banking_d200,gw_q32,HistGradientBoostingRegressor,200.0,0.9703568205103288,0.8396757825293476,0.8653274206965298,-0.1306810379809813,0.4936299119209428,1.1476230856509542,2.326051543677062,0.8739431141031578,0.937208068736904,partial_recovery_with_enough_pairs
